Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.13,0.26,2.45,1.03,5.26,0.84,37.14,0.19,0.97,7.34,3.8,2.25,45.41,0.84,Sander van de Streek,sander-van-de-streek,Antalyaspor,
0.13,0.19,1.96,0.51,6.45,0.76,38.71,0.44,1.58,15.57,4.37,0.25,45.34,1.84,Fred,fred,Fenerbahçe,
0.13,0.11,2.14,0.88,5.88,1.01,32.0,0.13,1.64,9.44,3.65,0.5,42.31,1.76,Garry Rodrigues,garry-rodrigues,MKE Ankaragücü,
0.12,0.09,2.09,0.25,5.88,0.37,37.5,0.37,1.11,12.28,5.16,0.49,55.42,2.7,Endri Çekiçi,endri-cekici,Pendikspor,
0.12,0.1,1.74,0.41,6.98,1.18,45.31,0.16,0.81,7.5,4.99,0.81,46.58,2.15,Dario Šarić,dario-saric,Antalyaspor,
0.12,0.12,2.1,0.53,5.77,0.97,53.33,0.49,2.91,11.69,2.67,0.08,39.77,0.65,Edin Višća,edin-visca,Trabzonspor,
0.12,0.15,1.72,0.41,6.9,1.24,36.21,0.18,1.48,6.63,3.38,0.41,36.36,1.48,Valon Ethemi,valon-ethemi,Konyaspor,
0.12,0.03,0.95,0.3,12.5,0.24,40.0,0.18,1.18,7.16,2.43,0.83,52.38,0.89,Jure Balkovec,jure-balkovec,Alanyaspor,
0.12,0.06,1.28,0.41,9.09,0.93,50.0,0.06,0.47,5.17,5.0,1.16,56.68,2.21,Ogün Özçiçek,ogun-ozcicek,Gaziantep FK,
0.12,0.06,1.15,0.29,10.0,0.75,59.09,0.12,1.04,9.87,3.23,0.69,53.54,0.63,Gökcan Kaya,gokcan-kaya,Pendikspor,
0.11,0.07,0.8,0.17,14.29,0.34,75.0,0.0,0.51,7.78,3.14,2.4,55.43,1.03,Chandrel Massanga,chandrel-massanga,,Hatayspor
0.11,0.05,0.85,0.28,13.33,0.23,66.67,0.06,0.45,5.41,3.55,1.41,56.77,1.07,Welinton,welinton,,Pendikspor
0.11,0.33,2.79,1.12,4.0,1.67,50.0,0.56,2.45,17.84,4.57,0.67,40.52,1.23,Rachid Ghezzal,rachid-ghezzal,,Beşiktaş
0.11,0.06,1.22,0.33,9.09,0.89,57.14,0.11,1.66,12.4,3.54,1.44,35.71,1.0,Eduart Rroca,eduart-rroca,,İstanbulspor
